UI_20150317_000001	{@st41b}Выучить Атрибут{nl} у Мастеров вашего класса.{/}
UI_20150317_000002	{@st43}Список Атрибутов {/}
UI_20150317_000003	{@st59}Закрыть Список Атрибутов {/}
UI_20150317_000004	{@st43}Выучить Атрибут{/}
UI_20150317_000005	{@st59}Закрыть окно Атрибутов{/}
UI_20150317_000006	{@st41b}Серебро{/}
UI_20150317_000007	Мои Достижения
UI_20150317_000008	Ранги Сервера
UI_20150317_000009	{@st59}An unexpected event is available.{/}
UI_20150317_000010	{@st59}There is a new Help message{/}
UI_20150317_000011	{@st41}Вы уверены что хотите создать этот тип стрел?{/}
UI_20150317_000012	{@st41b}Один раз{/}
UI_20150317_000013	{@st41b}Все{/}
UI_20150317_000014	{@st41b}Пауза{/}
UI_20150317_000015	{@st43}Журнал Приключений{/}
UI_20150317_000016	{@st43}Аукцион{/}
UI_20150317_000017	{@st59}Закрыть Аукцион{/}
UI_20150317_000018	{memo X}{@st41b}Предмет продан : ×%s, Предмет не продан : ×%s{/}
UI_20150317_000019	{@st43}{s22}Аукцион предметов{/}
UI_20150317_000020	{@st59}Закрыть информацию о Задании{/}
UI_20150317_000021	Полезный
UI_20150317_000022	{@st41b}Оставшееся время
UI_20150317_000023	3 часа 16 минут
UI_20150317_000024	{@st41b}Начальная Цена
UI_20150317_000025	{@st41b}Ставки
UI_20150317_000026	{@st41b}Актуальная Цена
UI_20150317_000027	{@st41b}Предложенная Цена
UI_20150317_000028	{@st41b}Минимальная Цена {@st57}%s{@st41b}silver{/}
UI_20150317_000029	{@st41b}Заявка{/}
UI_20150317_000030	{@st43b}Купить сейчас!{nl}{img icon_item_silver 20 20}{@st57}%s{/}
UI_20150317_000031	{@st44}настройки доступа{/}
UI_20150317_000032	{@st45}Имя: %s{/}
UI_20150317_000033	{@st45}Склад Группы{/}
UI_20150317_000034	{@st49}Никто
UI_20150317_000035	{@st49}Магазин
UI_20150317_000036	{@st49}Забрать обратно
UI_20150317_000037	{@st45}Обзор{/}
UI_20150317_000038	{@st49}Создать
UI_20150317_000039	{@st49}Удалить
UI_20150317_000040	{@st44}Сохранить{/}
UI_20150317_000041	{@st44}Отменаl{/}
UI_20150317_000042	{@st43}{s22}Магазин причесок{/}
UI_20150317_000043	{@st59}Предыдущая прическа{/}
UI_20150317_000044	{@st59}Следующая прическа{/}
